Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
47;19/05/2023;06:30;CHINA;SUPER LEAGUE - ROUND 8;Wuhan Three Towns;Chengdu Rongcheng;34;41;1,4634;31;43;1,0698;0,8293;0,7209;1,5502;0,5978
48;19/05/2023;08:35;CHINA;SUPER LEAGUE - ROUND 8;Cangzhou;Changchun Yatai;35;42;1,4524;35;43;1,3953;0,8333;0,814;1,6473;0,6783
49;19/05/2023;08:35;CHINA;SUPER LEAGUE - ROUND 8;Nantong Zhiyun;Shenzhen;30;43;1,0465;33;42;1,3333;0,6977;0,7857;1,4834;0,5482
50;19/05/2023;08:35;CHINA;SUPER LEAGUE - ROUND 8;Qingdao Hainiu;Zhejiang Professional;31;43;1,5581;31;42;1,1905;0,7209;0,7381;1,459;0,5321
51;19/05/2023;08:35;CHINA;SUPER LEAGUE - ROUND 8;Shanghai Shenhua;Beijing Guoan;26;42;0,8333;31;41;1,3659;0,619;0,7561;1,3751;0,468
52;19/05/2023;04:30;CHINA;FA CUP - 1/64-FINALS;Shanxi Longcheng;Qingdao Red Lions;0;0;0;0;0;0;0;0;0;0
53;19/05/2023;04:30;CHINA;FA CUP - 1/64-FINALS;Tianjin Jinchengren;Dalian Zhixing;0;0;0;0;0;0;0;0;0;0
54;19/05/2023;08:30;CHINA;FA CUP - 1/64-FINALS;Xian Ronghai;Hainan Star;1;1;1,0;15;18;1,2222;1,0;0,8333;1,8333;0,8333
55;19/05/2023;11:00;CROATIA;HNL - ROUND 35;Slaven Belupo;Hajduk Split;25;43;1,1395;29;43;1,2791;0,5814;0,6744;1,2558;0,3921
56;19/05/2023;13:05;CROATIA;HNL - ROUND 35;Sibenik;Osijek;25;43;0,8837;26;43;1,0465;0,5814;0,6047;1,1861;0,3516
57;19/05/2023;13:00;CYPRUS;FIRST DIVISION - RELEGATION GROUP - ROUND 38;Chloraka;Anorthosis;31;43;1,186;30;42;1,0952;0,7209;0,7143;1,4352;0,5149
